x,y,z,pitch,roll,yaw
6589.18164,-4162.23877,-36.2995872,0.0,0.0,3.14159251
6466.28223,-4321.81348,-6.29958725,0.0,0.0,1.17809743
6385.86914,-4204.44824,-6.29958725,0.0,0.0,-2.42603484e-08
6436.31543,-4141.06738,-6.29958105,0.0,0.0,-2.35619464
5756.29785,-4532.14111,-496.299561,0.0,0.0,0.785398204
6089.41797,-4073.05054,-866.2995,0.0,0.0,1.17809727
5895.28223,-3902.02588,-16.2993908,0.0,0.0,-3.14159245
5828.87109,-3742.72583,-46.2993889,0.0,0.0,0.392699263
5847.23047,-3688.53271,-16.2993889,0.0,0.0,1.81533636e-07
5942.3667,-3634.25244,-16.2993889,0.0,0.0,-3.14159249
5903.85352,-3672.06299,-46.2993889,0.0,0.0,-2.7488934
5663.5166,-3638.78613,-56.2993889,0.0,0.0,-3.14159248
5196.5791,-3958.88159,-6.29938889,0.0,0.0,-1.57079646
5196.5791,-4238.88184,-186.299393,0.0,0.0,-1.57079646
5286.41699,-4777.25781,-336.299377,0.0,0.0,-1.57079646
5401.20166,-4773.63281,-56.299324,0.0,0.0,-0.392699263
5777.5918,-4858.52539,-46.299324,0.0,0.0,0.785398023
5858.21729,-4929.48096,-6.29931641,0.0,0.0,-0.392699263
7363.32227,-4692.72363,-16.2993164,0.0,0.0,0.785398165
7416.56494,-4469.4585,-6.29931641,0.0,0.0,1.57079629
7404.16162,-4257.8042,-6.29931641,0.0,0.0,1.57079629
7245.68408,-4200.15088,-26.2993164,0.0,0.0,-2.42603484e-08
7343.44043,-4168.88184,-16.2993164,0.0,0.0,-2.74889337
7199.91553,-4065.89307,-16.2993164,0.0,0.0,0.392699263
7180.78125,-4112.08691,-6.29931641,0.0,0.0,-1.96349536
6313.39307,-3494.11646,-16.2993164,0.0,0.0,1.57079646
6265.67676,-3505.59717,-6.29931641,0.0,0.0,-2.35619432
6265.67676,-3535.59717,-346.299286,0.0,0.0,-1.57079629
6265.67676,-3685.59717,-396.299286,0.0,0.0,-1.57079629
6307.7666,-3977.22314,-336.299255,0.0,0.0,-2.42603484e-08
5972.26025,-3624.93433,-26.2995605,0.0,0.0,1.96349532
